id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
308157698,Molly Nilsson,Whiskey Sour,These Things Take Time,Female/Female,2008,Alternative a Punk/Synth Pop/Synth Pop,Sentimental/Tender / Sincere,Medium Tempo/Medium Slow/50s
456239353,Mark Lanegan a Duke Garwood,Black Pudding,Black Pudding,"",2013,Alternative a Punk/Alternative/Alternative Rock,Sentimental/Tender / Sincere,Slow Tempo/Slow/40s
456239213,Rome,Eagle and Serpent,Die Aesthetik der Herrschaftsfreiheit - Band 2 (Aufruhr or a Cross of Fire),Male/Male,2012,Urban/Contemporary RaB/Soul/Urban AC,Sentimental/Gentle Bittersweet,Medium Tempo/Medium Slow/60s
456239148,Various Artists,Let Yourself In For It (The Color Of Money/Soundtrack Version),The Color Of Money,Male/Male,1986,Pop/Western Pop/Adult Contemporary,Sentimental/Gentle Bittersweet,Slow Tempo/Slow/40s
416776575,Jimmy Buffett,Someone I Used To Love,License To Chill,Mixed/Mixed Duo,2004,Traditional/Classic Country/Neo-Traditional Country,Sentimental/Tender / Sincere,Slow Tempo/Slow/40s
412127204,The Miles Davis Quintet,It Never Entered My Mind,Workin' With The Miles Davis Quintet,Male/Male Group,1959,Jazz/Bebop a Modern Jazz/Cool Jazz,Sentimental/Lyrical Sentimental,Medium Tempo/Medium Slow/50s
407947850,David Lanz,Cristofori's Dream,Cristofori's Dream,Male/Male,1988,Other/New Age/Contemporary Instrumental,Sentimental/Lyrical Sentimental,Medium Tempo/Medium Slow/50s
397353733,Sonata Arctica,Shy,Takatalvi,Male/Male Group,2003,Rock/Metal/Power Metal,Sentimental/Gentle Bittersweet,Medium Tempo/Medium/80s
379745683,Moriarty,Jimmy,Gee Whiz But This Is A Lonesome Town,Mixed/Mixed Group,2007,Alternative a Punk/Alternative Folk/Alternative Folk,Sentimental/Tender / Sincere,Slow Tempo/Very Slow/30s
369766617,The Wolfe Tones,Oro Se Do Bheatha Abhaile,Millennium Celebration Album [Disc 1],Male/Male Group,2014,Traditional/Celtic/Celtic,Sentimental/Gentle Bittersweet,Slow Tempo/Slow/40s
360724926,Townes Van Zandt,Mr. Mudd a Mr. Gold,Live At The Old Quarter Houston Texas,Male/Male,2007,Traditional/Classic Country/Texas Country,Sentimental/Cool Melancholy,Medium Tempo/Medium Fast/90s
326507999,Немного Нервно,Куда мне домой,Сны о Земле. Глава 2,"",2014,Traditional/Folk/Traditional U.S. Folk,Sentimental/Tender / Sincere,Medium Tempo/Medium/80s
269969670,Янка,Столетний Дождь,Стыд И Срам,Female/Female,2009,Rock/Mainstream Rock/General Mainstream Rock,Sentimental/Tender / Sincere,Medium Tempo/Medium Slow/60s
267070482,Townes Van Zandt,Lungs,Live At The Old Quarter Houston Texas,Male/Male,2007,Traditional/Classic Country/Texas Country,Sentimental/Gentle Bittersweet,Medium Tempo/Medium/60s
264240423,Kris Kristofferson,Casey's Last Ride,Kristofferson,Male/Male,1970,Traditional/Country/General Country,Sentimental/Gentle Bittersweet,Slow Tempo/Slow/40s
250192772,Янка,Печаль Моя Светла,Домой!,Female/Female,2009,Rock/Mainstream Rock/General Mainstream Rock,Sentimental/Tender / Sincere,Medium Tempo/Medium Slow/60s
