id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239510,Blood Axis,Follow Me Up to Carlow,Ultimacy,Mixed/Mixed Group,2011,Rock/Metal/Black Metal,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/90s
456239294,Amadou a Mariam,Sénégal Fast Food,Dimanche À Bamako,Mixed/Mixed Duo,2004,Traditional/African Traditional/West African,Gritty/Strumming Yearning,Medium Tempo/Medium/80s
456239240,Mantus,Traurig bin ich sowieso,Refugium,Mixed/Mixed Group,2016,Rock/Metal/Gothic Metal,Gritty/Strumming Yearning,Medium Tempo/Medium/80s
456239123,PJ Harvey,C'mon Billy,To Bring You My Love,Female/Female,1994,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Gritty/Strumming Yearning,Medium Tempo/Medium/70s
456239047,Spiritual Front,Kiss The Girls And Make Them Die,Rotten Roma Casino,Male/Male Group,2006,Alternative a Punk/Goth/Goth,Gritty/Strumming Yearning,Medium Tempo/Medium/60s
456239033,The Arcs,Pistol Made of Bones,Yours Dreamily,Male/Male Group,2015,Alternative a Punk/Indie Rock/Neo-Psychedelic,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/110s
439367989,Golden Apes,The Archers,The Langsyne Litanies,"",2014,Alternative a Punk/Indie Rock/General Indie Rock,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/90s
434085790,Laura Marling,Devil's Spoke,I Speak Because I Can,Female/Female,2009,Alternative a Punk/Alternative Folk/Alternative Folk,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/110s
426171908,Woven Hand,Dirty Blue,Mosaic,Male/Male Group,2006,Traditional/Country/Americana,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/110s
416781328,The Rolling Stones,100 Years Ago,Goats Head Soup,Male/Male Group,1973,Rock/70's Rock/Boogie Rock,Gritty/Strumming Yearning,Medium Tempo/Medium Slow/60s
416049103,Total Guitar Magazine,Sultans Of Swing - Complete,Total Guitar CD Vol 102,"",0,Other/Spoken Word/General Spoken Word,Gritty/Strumming Yearning,Medium Tempo/Medium/70s
415798200,Estampie,Ramunder,Secrets of the North,Mixed/Mixed Group,2013,Classical/Other Classical/General Classical,Gritty/Strumming Yearning,Medium Tempo/Medium/60s
412947824,Eric Clapton,Me And The Devil Blues,Me a Mr. Johnson,Male/Male,2004,Traditional/Electric Blues/Slide Guitar Blues,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/90s
379946904,Golden Apes,Rosary,The Langsyne Litanies,"",2014,Alternative a Punk/Indie Rock/General Indie Rock,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/120s
373711268,Boo Boo Davis,Who Stole The Booty,Drew Mississippi,"",2006,Traditional/Electric Blues/General Blues,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/90s
