id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
269629701,Оргия Праведников,Ничего Нет Прекраснее Смерти!,Двери! Двери!,Male/Male Group,2005,"",Brooding/Energetic Melancholy,Medium Tempo/Medium/70s
253643699,Оргия Праведников,Присутствие,Двери! Двери!,Male/Male Group,2005,"",Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/100s
253117082,Оргия Праведников,Млечный путь,Вперёд и Вверх,Male/Male Group,2014,Rock/Mainstream Rock/General Mainstream Rock,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/110s
247262098,Оргия Праведников,Уходящее Солнце,Уходящее Солнце,Male/Male Group,2007,"",Romantic/Lush / Romantic,Medium Tempo/Medium Slow/50s
210477339,Оргия Праведников,Туркестанский экспресс,Вперёд и Вверх,Male/Male Group,2014,Rock/Mainstream Rock/General Mainstream Rock,Aggressive/Heavy Triumphant,Fast Tempo/Fast/130s
195878233,Оргия Праведников,ШитРок,ШитРок,Male/Male Group,2012,Rock/Mainstream Rock/General Mainstream Rock,Urgent/Energetic Anxious,Fast Tempo/Fast/130s
186410717,Оргия Праведников,Rex,Для тех кто видит сны. Vol.2,Male/Male Group,2016,Rock/Mainstream Rock/General Mainstream Rock,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/120s
186401021,Оргия Праведников,Чёрная земля,Для тех кто видит сны. Vol.2,Male/Male Group,2016,Rock/Mainstream Rock/General Mainstream Rock,Aggressive/Heavy Triumphant,Fast Tempo/Fast/130s
186398848,Оргия Праведников,Дорога ворона,Вперёд и Вверх,Male/Male Group,2014,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/100s
186331426,Оргия Праведников,Уходящее Солнце,Уходящее Солнце,Male/Male Group,2007,"",Romantic/Lush / Romantic,Medium Tempo/Medium Slow/50s
186326363,Оргия Праведников,Убить свою Мать,Вперёд и Вверх,Male/Male Group,2014,Rock/Mainstream Rock/General Mainstream Rock,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
185081643,Оргия Праведников,Последний Воин Мёртвой Земли,Вперёд и Вверх,Male/Male Group,2014,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Hard Dark Excitement,Fast Tempo/Fast/130s
185086430,Оргия Праведников,Уходящее Солнце,Уходящее Солнце,Male/Male Group,2007,"",Romantic/Lush / Romantic,Medium Tempo/Medium Slow/50s
166804551,Оргия Праведников,Наша Родина - СССР,Вперёд и Вверх,Male/Male Group,2014,Rock/Mainstream Rock/General Mainstream Rock,Urgent/Energetic Anxious,Fast Tempo/Fast/130s
