id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
398116752,Бумбокс,Наодинці,III,Male/Male Group,2008,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,Fiery/Passionate Rhythm,Fast Tempo/Fast/150s
394599091,New Day,Вбивця-снiг,Глаза в глаза,"",2014,Rock/Mainstream Rock/General Mainstream Rock,Fiery/Passionate Rhythm,Medium Tempo/Medium Fast/110s
349243550,Joe Dassin,A Toi,Éternel,Male/Male,2005,Pop/European Pop/French Pop,Fiery/Passionate Rhythm,Medium Tempo/Medium Fast/120s
323509431,Чи-Ли,Дорога в рай,Преступление,Mixed/Mixed Duo,2006,Pop/European Pop/Eastern European Pop,Fiery/Passionate Rhythm,Medium Tempo/Medium/80s
279919654,Тарас Чубай та друзі,Я піду в далекі гори,Наш Івасюк,"",2003,Rock/Mainstream Rock/General Mainstream Rock,Fiery/Passionate Rhythm,Medium Tempo/Medium/60s
269658748,Caprice,Philomel With Melody,Kywitt ! Kywitt !,"",2008,Urban/Contemporary RaB/Soul/Contemporary RaB,Fiery/Passionate Rhythm,Medium Tempo/Medium Fast/90s
206511853,Fallulah,Out of It,The Black Cat Neighbourhood,Female/Female,2011,Alternative a Punk/Indie Rock/General Indie Rock,Fiery/Passionate Rhythm,Fast Tempo/Fast/140s
188210462,Воплi Вiдоплясова,Осінь (Буддийско-Ностальгическая),Вiдрада,Male/Male Group,2004,Rock/Mainstream Rock/General Mainstream Rock,Fiery/Passionate Rhythm,Medium Tempo/Medium Fast/90s
177969000,Океан Ельзи,Там де нас нема,Там де нас нема,Male/Male Group,1998,Rock/Mainstream Rock/General Mainstream Rock,Fiery/Passionate Rhythm,Medium Tempo/Medium Fast/100s
177968304,Океан Ельзи,Йду на дно,Там де нас нема,Male/Male Group,1998,Rock/Mainstream Rock/General Mainstream Rock,Fiery/Passionate Rhythm,Medium Tempo/Medium/80s
177968172,Океан Ельзи,"Поïзд ""Чужа Любов""",12 21,Male/Male Group,2006,"",Fiery/Passionate Rhythm,Fast Tempo/Fast/150s
177967648,Океан Ельзи,Мене,Суперсиметрiя,Male/Male Group,2014,Rock/Mainstream Rock/General Mainstream Rock,Fiery/Passionate Rhythm,Medium Tempo/Medium/70s
177966979,Океан Ельзи,Там де нас нема,Там де нас нема,Male/Male Group,1998,Rock/Mainstream Rock/General Mainstream Rock,Fiery/Passionate Rhythm,Medium Tempo/Medium Fast/100s
170000011,Bob Sinclar,World hold on (Children of the sky) Acoustic Version (feat.Steve Edwards),Western dream,Male/Male,2006,Electronica/House/Euro House,Fiery/Passionate Rhythm,Medium Tempo/Medium Fast/100s
124917957,Dorcas Kaja a Les Soeurs,Tuna Kuwa Budu,Plénitude adoration,Female/Female,2014,Other/Religious/Hymns a Spirituals,Fiery/Passionate Rhythm,Medium Tempo/Medium Fast/90s
121932321,Скрябін,Nash ostanniy tanec' (Наш останній танець),Natura (Натура),Male/Male Group,2005,Rock/Mainstream Rock/General Mainstream Rock,Fiery/Passionate Rhythm,Medium Tempo/Medium Fast/110s
121491753,Бумбокс,Наодинці,III,Male/Male Group,2008,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,Fiery/Passionate Rhythm,Fast Tempo/Fast/150s
118276646,Holly Brook,Saturdays,Like Blood Like Honey,Female/Female,2006,Pop/Western Pop/Singer-Songwriter,Fiery/Passionate Rhythm,Medium Tempo/Medium Fast/110s
