id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239113,Theatre Of Tragedy,City Of Light,Musique,Mixed/Mixed Group,2000,Rock/Metal/Gothic Metal,Defiant/Heavy Brooding,Fast Tempo/Fast/140s
456239050,The Lively Ones,Surf Rider,Hang Five!!! The Best Of The Lively Ones,Male/Male Group,1995,Rock/60's Rock/Surf Rock,Urgent/Dark Urgent,Fast Tempo/Fast/140s
456239041,April March,Chick Habit,Paris in April,Female/Female,2012,Alternative a Punk/Indie Rock/Indie Pop,Rowdy/Wild / Rowdy,Fast Tempo/Fast/140s
456239032,Caravan Palace,Aftermath,<I°_°I>,Mixed/Mixed Group,2015,Electronica/Electronica Fusion/Ethno-Lounge Electronica,Energizing/Abstract Beat,Fast Tempo/Fast/140s
456239018,Carpenter Brut,Turbo Killer,EP III,Male/Male,2015,Alternative a Punk/Synth Pop/Synth Pop,Aggressive/Chaotic / Intense,Fast Tempo/Fast/140s
431789542,KBDM,Ангелы и демоны,Ангелы и демоны,"",2014,Pop/Western Pop/Pop Vocal,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
402620759,Meg Myers,Lemon Eyes,Sorry,Female/Female,2015,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
386547845,The Chemical Brothers,Escape Velocity,Further,Male/Male Duo,2010,Electronica/Electronica Mainstream/Big Beat,Excited/Euphoric Energy,Fast Tempo/Fast/140s
366976332,Imagine Dragons,I'm So Sorry,Smoke + Mirrors,Male/Male Group,2015,Rock/Adult Alternative Rock/Adult Alternative Rock,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
331632924,Revolution Renaissance,Heroes,New Era,"",2008,Rock/Metal/Heavy Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/140s
325277033,Reamonn,Faith,Reamonn,Male/Male Group,2008,Rock/Adult Alternative Rock/Adult Alternative Rock,Brooding/Energetic Melancholy,Fast Tempo/Fast/140s
315671287,Ночные Снайперы,Катастрофически,Цунами,Mixed/Mixed Group,2002,Pop/European Pop/Eastern European Pop,Urgent/Dark Pop Intensity,Fast Tempo/Fast/140s
310653352,Delain,April Rain,April Rain,Mixed/Mixed Group,2009,Rock/Metal/Progressive Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/140s
310206935,Rob Dougan,Born Yesterday,Furious Angels,Male/Male,2002,Electronica/Dance a Club/Club Dance,Brooding/Alienated / Brooding,Fast Tempo/Fast/140s
309959637,The Prodigy,Invaders Must Die,Invaders Must Die,Male/Male Group,2009,Electronica/Electronica Mainstream/Big Beat,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
302595720,System Of A Down,Radio/Video,Mezmerize,Male/Male Group,2005,Rock/Metal/Nu-Metal,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
294511809,White Sea,Flash,In Cold Blood,Female/Female,2014,Electronica/Electronica Mainstream/Pop Electronica,Excited/Euphoric Energy,Fast Tempo/Fast/140s
287758656,U2,Vertigo,How To Dismantle An Atomic Bomb,Male/Male Group,2004,Rock/Adult Alternative Rock/Adult Alternative Rock,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
280484188,Delain,April Rain,April Rain,Mixed/Mixed Group,2009,Rock/Metal/Progressive Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/140s
271586595,Kaiser Chiefs,Bows a Arrows,Education Education Education a War,Male/Male Group,2014,Alternative a Punk/Indie Rock/General Indie Rock,Brooding/Energetic Melancholy,Fast Tempo/Fast/140s
246904529,OK Go,Here It Goes Again,Oh No,Male/Male Group,2005,Alternative a Punk/Alternative/Alternative Pop,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
244643013,Rob Dougan,Born Yesterday,Furious Angels,Male/Male,2002,Electronica/Dance a Club/Club Dance,Brooding/Alienated / Brooding,Fast Tempo/Fast/140s
195393208,Mother Mother,Let's Fall In Love,The Sticks,Mixed/Mixed Group,2012,Alternative a Punk/Indie Rock/General Indie Rock,Defiant/Heavy Brooding,Fast Tempo/Fast/140s
185081404,Buried In Verona,LionHeart,Notorious,Male/Male Group,2012,Alternative a Punk/Emo a Hardcore/Hardcore,Brooding/Energetic Melancholy,Fast Tempo/Fast/140s
176247646,Portugal. The Man,So American,In The Mountain In The Cloud,Male/Male Group,2011,Alternative a Punk/Indie Rock/General Indie Rock,Rowdy/Confident / Tough,Fast Tempo/Fast/140s
175158013,Stereophonics,Dakota,Language. Sex. Violence. Other?,Male/Male Group,2005,Alternative a Punk/Brit Rock/Brit Rock,Excited/Happy Excitement,Fast Tempo/Fast/140s
166732512,Motorama,Empty Bed,Alps,Mixed/Mixed Group,2013,Rock/Mainstream Rock/General Mainstream Rock,Urgent/Dark Pop Intensity,Fast Tempo/Fast/140s
163984653,La Roux,Tigerlily,La Roux,Mixed/Mixed Duo,2009,Electronica/Electronica Mainstream/Pop Electronica,Energizing/Arousing Groove,Fast Tempo/Fast/140s
162524258,Nina Zilli,L'Amore È Femmina,L'Amore È Femmina,Female/Female,2012,Pop/European Pop/Mediterranean Pop,Urgent/Dark Pop Intensity,Fast Tempo/Fast/140s
